Servicio,Region,Comuna,Tipo_1,Dependencia,Tipo,Nombre,Direccion,Telefono,Fax
Iquique,1,ALTO HOSPICIO,HOSPITALES,Servicio,Establecimiento Menor Complejidad,Hospital Comunitario de Salud Familiar Dr Héctor Reyno Gutiérrez,"Naciones Unidas Nº 3080, sector La Pampa",,
Iquique,1,HUARA,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Pisagua,"Avda Arturo Prat N° S/N, Caserío de Pisagua",,
Iquique,1,HUARA,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Huara,"Eleuterio Ramírez N° S/N, Aldea de Huara",,
Iquique,1,HUARA,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Tarapacá,Caserío de Tarapacá,,
Iquique,1,POZO ALMONTE,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Mamiña,"Santa Rosa N° S/N, Aldea de Mamiña",,
Iquique,1,CAMIÑA,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Camiña,Caserío de Camiña,,
Iquique,1,COLCHANE,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Colchane,Sector Colchane,,
Iquique,1,POZO ALMONTE,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural La Tirana,"General Ibáñez N° S/N, Pueblo de La Tirana",,
Iquique,1,HUARA,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Chiapa,Caserío de Chiapa,,
Iquique,1,CAMIÑA,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Moquella,Caserío de Moquella,,
Iquique,1,COLCHANE,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Enquelga,Sector Enquelga,,
Iquique,1,HUARA,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Sibaya,Caserío de Sibaya,,
Iquique,1,PICA,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Cancosa,Caserío de Cancosa,,
Iquique,1,IQUIQUE,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Chanavayita,Aldea de Chanavayita,,
Iquique,1,IQUIQUE,CENTROS RESOLUTIVIDAD AMBULATORIA A NIVEL DE COMUNA,Servicio,Consultorio de Salud Mental,COSAM Infanto-Juvenil de Iquique,Serrano N° 493,057-2613668,
Iquique,1,IQUIQUE,CENTROS RESOLUTIVIDAD AMBULATORIA A NIVEL DE COMUNA,Servicio,Consultorio de Salud Mental,COSAM Salvador Allende,Céspedes N° S/N (esquina González),,
Iquique,1,ALTO HOSPICIO,CENTROS RESOLUTIVIDAD AMBULATORIA A NIVEL DE COMUNA,Servicio,Consultorio de Salud Mental,COSAM Enrique París,Santa Rosa N° S/N (Alto Hospicio),057-3079321,
Iquique,1,ALTO HOSPICIO,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Centro CECOF,Centro Comunitario de Salud Familiar El Boro,"Calle 4 N° S/N (entre Avda 14 y Calle 3, Sector El Boro)",057-406750,
Iquique,1,IQUIQUE,CENTROS DE ATENCIÓN DE URGENCIA A NIVEL DE COMUNA,Municipal,Servicio de Atención Primaria de Urgencia,SAPU-Cirujano Aguirre,Pasaje 3 Pintados N° S/N (esquina Avda Pedro Prado),057-573568,
Iquique,1,IQUIQUE,CENTROS DE ATENCIÓN DE URGENCIA A NIVEL DE COMUNA,Municipal,Servicio de Atención Primaria de Urgencia,SAPU-Cirujano Videla,Obispo Labbé N° S/N,,
Iquique,1,POZO ALMONTE,CENTROS DE ATENCIÓN DE URGENCIA A NIVEL DE COMUNA,Municipal,Servicio de Atención Primaria de Urgencia,SAPU-Pozo Almonte,Aldunate N° S/N (esquina Comercio),,
Iquique,1,ALTO HOSPICIO,CENTROS DE ATENCIÓN DE URGENCIA A NIVEL DE COMUNA,Municipal,Servicio de Atención Primaria de Urgencia,SAPU-Pedro Pulgar Melgarejo,"Los Álamos N° S/N, Alto Hospicio",,
Iquique,1,IQUIQUE,CENTROS DE ATENCIÓN DE URGENCIA A NIVEL DE COMUNA,Municipal,Servicio de Atención Primaria de Urgencia,SAPU-Sur de Iquique,Avda Cerro Dragón N° S/N,,
Iquique,1,ALTO HOSPICIO,CENTROS DE ATENCIÓN DE URGENCIA A NIVEL DE COMUNA,Municipal,Servicio de Atención Primaria de Urgencia,SAPU-Alto Hospicio - La Pampa,"Sector La Pampa N° S/N, Alto Hospicio",,
Antofagasta,2,ANTOFAGASTA,OTRO,Servicio,Clínica Dental Móvil,Clínica Dental Móvil (Antofagasta),Bolívar N° 523,,
Antofagasta,2,ANTOFAGASTA,HOSPITALES,Servicio,Establecimiento Mayor Complejidad,Hospital Dr Leonardo Guzmán (Antofagasta),Avda Argentina N° 1964,055-204648,055-282213
Antofagasta,2,CALAMA,HOSPITALES,Servicio,Establecimiento Mediana Complejidad,Hospital Dr Carlos Cisternas (Calama),Carlos Cisternas N° 2253,055-655700,055-340003
Antofagasta,2,TOCOPILLA,HOSPITALES,Servicio,Establecimiento Menor Complejidad,Hospital Dr Marcos Macuada (Tocopilla),Santa Rosa N° S/N,055-656200,055-811584
Antofagasta,2,TALTAL,HOSPITALES,Servicio,Establecimiento Menor Complejidad,Hospital 21 de Mayo (Taltal),O'Higgins N° 450,055-656300,055-611677
Antofagasta,2,MEJILLONES,HOSPITALES,Servicio,Establecimiento Menor Complejidad,Hospital de Mejillones,Avda Bernardo O'Higgins N° 541,055-655250,055-621486
Antofagasta,2,ANTOFAGASTA,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Centro de Salud Familiar,Consultorio Norte de Antofagasta,Juan Glasinovic N° S/N (esquina Mateo Toro y Zambrano),,
Antofagasta,2,ANTOFAGASTA,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Centro de Salud Urbano,Consultorio Antonio Rendic,Avda Rendic N° 6071,055-656038,
Antofagasta,2,ANTOFAGASTA,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Centro de Salud Familiar,Consultorio Corvallis,Avda Salvador Allende N° 1370,800500204,
Antofagasta,2,ANTOFAGASTA,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Centro de Salud Familiar,Centro de Salud Familiar Centro Sur de Antofagasta,Pasaje Niebla N° 850,055-331110,
Antofagasta,2,ANTOFAGASTA,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Centro de Salud Familiar,Centro de Salud Familiar Juan Pablo II de Antofagasta,Teniente Julio Montt Salamanca N° S/N,055-656800,
Antofagasta,2,CALAMA,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Centro de Salud Familiar,Consultorio Central de Calama,Félix Hoyos N° S/N,055-656050,
Antofagasta,2,CALAMA,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Centro de Salud Familiar,Centro de Salud Familiar Montt,Avda Granaderos N° 3968,055-656650,
Antofagasta,2,CALAMA,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Centro de Salud Familiar,Consultorio Alemania de Calama,Colonia N° 2611,055-656891,
Antofagasta,2,ANTOFAGASTA,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Centro de Salud Familiar,Consultorio Central Oriente de Antofagasta,Avda Circunvalación N° S/N,055-655100,
Antofagasta,2,MARIA ELENA,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Centro de Salud Rural,Consultorio María Elena,Diego de Almagro N° S/N,055-265332,
Antofagasta,2,SAN PEDRO DE ATACAMA,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Centro de Salud Rural,Consultorio San Pedro Atacama,Atacama N° S/N,,
Antofagasta,2,ANTOFAGASTA,ATENCION SECUNDARIA,Servicio,Centro de Referencia de Salud,Centro Asistencial Norte,Los Pumas N° 10255,055-554000,
Antofagasta,2,SIERRA GORDA,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Baquedano,"Salvador Allende 112, Aldea de Baquedano",,
Antofagasta,2,SIERRA GORDA,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Sierra Gorda,"Salvador Allende 211, Aldea de Sierra Gorda",,
Antofagasta,2,SAN PEDRO DE ATACAMA,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Toconao,Aldea de Toconao,,
Antofagasta,2,SAN PEDRO DE ATACAMA,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Peine,Sector de Peine,,
Antofagasta,2,SAN PEDRO DE ATACAMA,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Socaire,Sector de Socaire,,
Antofagasta,2,CALAMA,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Caspana,Sector de Caspana,,
Antofagasta,2,OLLAGÜE,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Ollagüe,"Héroes de la Concepción N° S/N, Ollagüe",,
Antofagasta,2,CALAMA,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Ayquina,"San Roque 321, Sector de Ayquina",,
Antofagasta,2,CALAMA,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Chiu-Chiu,"Esmeralda N° S/N, Sector Chiu-Chiu",,
Antofagasta,2,MARIA ELENA,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Quillagua (María Elena),"El Loa N° S/N, Caserío de Quillagua",,
Antofagasta,2,TALTAL,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Paposo,Caserío de Paposo,,
Antofagasta,2,SAN PEDRO DE ATACAMA,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Estación de Salud Rural Río Grande,Sector Río Grande,,
Antofagasta,2,CALAMA,CENTROS RESOLUTIVIDAD AMBULATORIA A NIVEL DE COMUNA,Servicio,Consultorio de Salud Mental,COSAM Calama,Avda Argentina Nº 2610,055-654015,
Antofagasta,2,ANTOFAGASTA,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Centro CECOF,Centro Comunitario de Salud Familiar Antofagasta,Villa Agrícola N° S/N,,
Antofagasta,2,CALAMA,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Centro CECOF,Centro Comunitario de Salud Familiar Sur,Avda Bernardo O`Higgins N° S/N,055-54028,
Antofagasta,2,CALAMA,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Centro CECOF,Centro Comunitario de Salud Familiar Alemania,"Chacabuco N° 3076, Villa 23 de Marzo",,
Antofagasta,2,ANTOFAGASTA,CENTROS DE ATENCIÓN DE URGENCIA A NIVEL DE COMUNA,Municipal,Servicio de Atención Primaria de Urgencia,SAPU-Norte de Antofagasta,Juan Glasinovic N° S/N (esquina Mateo Toro y Zambrano),55-655191,
Antofagasta,2,ANTOFAGASTA,CENTROS DE ATENCIÓN DE URGENCIA A NIVEL DE COMUNA,Municipal,Servicio de Atención Primaria de Urgencia,SAPU-Antonio Rendic,Avda Rendic N° 071,,
Antofagasta,2,ANTOFAGASTA,CENTROS DE ATENCIÓN DE URGENCIA A NIVEL DE COMUNA,Municipal,Servicio de Atención Primaria de Urgencia,SAPU-Corvallis,Avda Salvador Allende N° 1370,,
Antofagasta,2,ANTOFAGASTA,CENTROS DE ATENCIÓN DE URGENCIA A NIVEL DE COMUNA,Municipal,Servicio de Atención Primaria de Urgencia,SAPU-Juan Pablo II de Antofagasta,Teniente Julio Montt Salamanca N° S/N,55-656795,
Antofagasta,2,CALAMA,CENTROS DE ATENCIÓN DE URGENCIA A NIVEL DE COMUNA,Municipal,Servicio de Atención Primaria de Urgencia,SAPU-Norte de Calama,Avda Granaderos N° 3968,,
Antofagasta,2,CALAMA,CENTROS DE ATENCIÓN DE URGENCIA A NIVEL DE COMUNA,Municipal,Servicio de Atención Primaria de Urgencia,SAPU-Alemania de Calama,Colonia N° 2611,55-656116,
Atacama,3,COPIAPÓ,OTRO,Servicio,Clínica Dental Móvil,Clínica Dental Móvil (Copiapó),"Chacabuco N°520, 2° Piso",,
Atacama,3,COPIAPÓ,HOSPITALES,Servicio,Establecimiento Mayor Complejidad,Hospital San José del Carmen (Copiapó),Los Carrera N° 1320,052-213474,052-213204
Atacama,3,CHAÑARAL,HOSPITALES,Servicio,Establecimiento Menor Complejidad,Hospital Dr Jerónimo Méndez Arancibia (Chañaral),Dr Luis Herrera N° S/N,052-465550,052-480107
Atacama,3,DIEGO DE ALMAGRO,HOSPITALES,Servicio,Establecimiento Menor Complejidad,Hospital Dr Florencio Vargas (Diego de Almagro),Juan Martínez N° 2200,052-465500,052-441021
Atacama,3,VALLENAR,HOSPITALES,Servicio,Establecimiento de Mayor Complejidad,Hospital Provincial del Huasco Monseñor Fernando Ariztía Ruiz (Vallenar),Merced N° S/N,051-613747,051-619479
Atacama,3,HUASCO,HOSPITALES,Servicio,Establecimiento Menor Complejidad,Hospital Dr Manuel Magalhaes Medling (Huasco),Canteras N° 105,51-331200,051-531184
Atacama,3,COPIAPÓ,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Centro de Salud Urbano,Consultorio Santa Elvira,Los Aromos N° S/N,800500309,
Atacama,3,CALDERA,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Centro de Salud Familiar,Centro de Salud Familiar Rosario Corvalán,Canal de Beagle N° S/N,,
Atacama,3,COPIAPÓ,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Centro de Salud Familiar,Consultorio Juan Martínez,Avda Batallón Atacama N° S/N,800500305,
Atacama,3,COPIAPÓ,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Centro de Salud Familiar,Centro de Salud Familiar Pedro León Gallo,Flora Normilla N° 1007,800500308,
Atacama,3,COPIAPÓ,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Centro de Salud Urbano,Rosario Palomar,Chacabuco N° 671,800500303,
Atacama,3,COPIAPÓ,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Centro de Salud Rural,Consultorio Candelaria Rosario,Vallenar N° S/N Pob Rosario,800500302,
Atacama,3,COPIAPÓ,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Centro de Salud Urbano,Consultorio Manuel Rodríguez,Luis Flores N° S/N,52-465191,
Atacama,3,COPIAPÓ,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Centro de Salud Familiar,Consultorio Paipote,Avda Las Delicias N° S/N,800500307,
Atacama,3,TIERRA AMARILLA,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Centro de Salud Rural,Consultorio Salvador Allende,Lorenzo Jofré N° S/N,052-320041,
Atacama,3,CHAÑARAL,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Centro de Salud Urbano,Consultorio Dr Luis Herrera,Merino Jarpa N° S/N (esquina Casimiro Domeyko),800500301,
Atacama,3,DIEGO DE ALMAGRO,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Centro de Salud Familiar,Consultorio El Salvador,Cobresal N° 2508,,
Atacama,3,VALLENAR,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Centro de Salud Urbano,Consultorio Estación,Ramírez N° S/N (Esquina Erasmo Escala),800500312,
Atacama,3,FREIRINA,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Centro de Salud Familiar,Consultorio Freirina,Santiago Zavala N° S/N,,
Atacama,3,VALLENAR,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Centro de Salud Urbano,Consultorio Hermanos Carrera,Avda Lautaro N° S/N,800500313,
Atacama,3,VALLENAR,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Centro de Salud Familiar,Consultorio Gómez Baquedano,Avda Perú N° S/N,800500311,
Atacama,3,VALLENAR,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Centro de Salud Familiar,Centro de Salud Familiar Joan Crawford Astudillo,Avda España N° S/N,800500314,
Atacama,3,HUASCO,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Centro de Salud Urbano,Consultorio Juan Verdaguer,Maipú N° S/N (esquina Las Heras),800500310,
Atacama,3,COPIAPÓ,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Centro de Salud Familiar,Centro de Salud Familiar Dr Bernardo Mellibovsky,Avda Los Loros N° S/N,800500304,
Atacama,3,ALTO DEL CARMEN,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Centro de Salud Rural,Consultorio Alto del Carmen,Jerónimo Godoy N° 6,051-691101,
Atacama,3,TIERRA AMARILLA,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Los Loros,"Ferrocarril N° S/N, Aldea Los Loros",,
Atacama,3,CHAÑARAL,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural El Salado de Chañaral,"Gral Bonilla s/n, Pueblo El Salado",,
Atacama,3,DIEGO DE ALMAGRO,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Inca de Oro,"Francisco San Román N° S/N, Aldea Inca de Oro",,
Atacama,3,ALTO DEL CARMEN,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural San Félix,Aldea de San Félix,,
Atacama,3,ALTO DEL CARMEN,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural El Tránsito,Aldea de El Transito,,
Atacama,3,VALLENAR,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Domeyko,"Pedro Cuadra N° S/N, Aldea de Domeyko",,
Atacama,3,ALTO DEL CARMEN,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Conay,Caserío Conay,,
Atacama,3,VALLENAR,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Hacienda Ventanas,Sector Hacienda Ventanas,,
Atacama,3,FREIRINA,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Carrizalillo (Freirina ),Sector Carrizalillo,,
Atacama,3,VALLENAR,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Cachiyuyo,"Dr Aravena N° S/N, Caserío de Cachiyuyo",,
Atacama,3,VALLENAR,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Incahuasi,"Luis Pasteur N° S/N, Caserío de Inaguasi",,
Atacama,3,VALLENAR,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Hacienda Compañía,Aldea Hacienda Compañía,,
Atacama,3,HUASCO,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Carrizal Bajo,Caserío Carrizal Bajo,,
Atacama,3,ALTO DEL CARMEN,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Las Breas (Alto del Carmen),Caserío Las Breas,,
Atacama,3,HUASCO,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Canto del Agua,Caserío Canto del Agua,,
Atacama,3,HUASCO,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Jeremías Cortés,Sector Pedro Aguirre Cerda,,
Atacama,3,CALDERA,CENTROS DE ATENCIÓN DE URGENCIA A NIVEL DE COMUNA,Municipal,Servicio de Atención Primaria de Urgencia,SAPU-Rosario Corvalán,Canal Beagle N° S/N,,
Atacama,3,COPIAPÓ,CENTROS DE ATENCIÓN DE URGENCIA A NIVEL DE COMUNA,Municipal,Servicio de Atención Primaria de Urgencia,SAPU-Dr Bernardo Mellibovsky,Avda Los Loros N° S/N (con Antofagasta),,
Coquimbo,4,MONTE PATRIA,OTRO,Servicio,Clínica Dental Móvil,Clínica Dental Móvil (Monte Patria),Balmaceda Nº 110 Monte Patria,053-711058,
Coquimbo,4,LA SERENA,HOSPITALES,Servicio,Establecimiento Mayor Complejidad,Hospital San Juan de Dios (La Serena),Balmaceda N° 916,051-200560,051-224980
Coquimbo,4,COQUIMBO,HOSPITALES,Servicio,Establecimiento Mayor Complejidad,Hospital San Pablo (Coquimbo),"Avda Videla N° S/N, Coquimbo",051-206201,051-206356
Coquimbo,4,OVALLE,HOSPITALES,Servicio,Establecimiento Mayor Complejidad,Hospital Dr Antonio Tirado Lanas (Ovalle),"Ariztía Poniente Nº 7, Ovalle",053-533363,053-533366
Coquimbo,4,ILLAPEL,HOSPITALES,Servicio,Establecimiento Mediana Complejidad,Hospital San Juan de Dios (Illapel),"Independencia Nº 0512, Illapel",053-663776,053-663776
Coquimbo,4,SALAMANCA,HOSPITALES,Servicio,Establecimiento Menor Complejidad,Hospital de Salamanca,Matilde Salamanca Nº 0113,053-663541,053-662969
Coquimbo,4,COMBARBALÁ,HOSPITALES,Servicio,Establecimiento Menor Complejidad,Hospital San Juan de Dios (Combarbalá),"Comercio Nº 650, Combarbalá",053-663464,053-741031
Coquimbo,4,ANDACOLLO,HOSPITALES,Servicio,Establecimiento Menor Complejidad,Hospital Dr José Arraño (Andacollo),Urmeneta N° 2,051-331050-59,051-431508
Coquimbo,4,VICUÑA,HOSPITALES,Servicio,Establecimiento Menor Complejidad,Hospital San Juan de Dios (Vicuña),Ignacio Carrera Pinto N° S/N,051-333141,051-333193
